fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails.currentIcuCovid,metrics.icuHeadroomDetails.currentIcuCovidMethod,metrics.icuHeadroomDetails.currentIcuNonCovid,metrics.icuHeadroomDetails.currentIcuNonCovidMethod,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
02,USA,AK,,state,,iso1:us#iso2:us-ak,,731545,0.031093665820056952,other,20.719358149044634,0.3100848256361923,1.05207392693,0.12175051019000027,0.16216216216216217,6,actual,92,actual,0.7596899224806202,2,1,2,1,1,0,1,61744,299,102973,1908697,235,1853,1000,28,0.58,129,98,6,0.676923076923,186,570465,246515,160932,2021-03-30,https://covidactnow.org/us/alaska-ak,0.33697858641642,0.21998920093774135,0,403284
01,USA,AL,,state,,iso1:us#iso2:us-al,,4903185,0.0556150926546104,other,8.274504953704291,0.19915492957746478,0.847850603169,0.10000000000000009,0.27564102564102566,129,actual,1170,actual,0.793040293040293,1,1,1,1,0,0,1,512054,10526,506682,3650461,404,19167,11199,469,0.6,1638,1299,129,0.7,228,2537050,1113924,631388,2021-03-30,https://covidactnow.org/us/alabama-al,0.22718375912799538,0.12877099273227505,0,1666585
05,USA,AR,,state,,iso1:us#iso2:us-ar,,3017804,0.019487908961593175,other,6.158688332878572,0.8501152959262106,0.7873082372910001,0.09999999999999998,0.14,56,actual,584,actual,0.6504065040650406,1,0,1,1,0,0,0,330008,5601,229711,2351444,790,13284,6203,223,0.55,984,640,56,0.61,79,1662850,769106,407828,2021-03-30,https://covidactnow.org/us/arkansas-ar,0.2548561801893032,0.13514065194426145,6,1153739
04,USA,AZ,,state,,iso1:us#iso2:us-az,,7278717,0.039807468528509464,other,7.387487186468242,0.14729011689691818,0.813035475504,0.09999999999999998,0.07101086048454469,85,actual,1030,actual,0.5006735518634935,1,1,1,1,0,0,0,839160,16919,821402,5851603,396,18286,11749,606,0.6,2227,1115,85,0.829018663456,613,3970345,2105116,1205521,2021-03-30,https://covidactnow.org/us/arizona-az,0.2892152559304064,0.1656227326876426,6,3363062
06,USA,CA,,state,,iso1:us#iso2:us-ca,,39512223,0.01920692478652474,other,6.672076421227209,0.8041616993605722,0.904983034579,0.10000000000099996,0.21770516717325228,573,actual,4504,actual,0.7114630044843049,1,0,1,1,1,0,1,3664012,58988,3610393,41300952,10600,99574,47983,2743,0.6,7136,5077,573,0.59,3039,21865730,11802833,6131336,2021-03-30,https://covidactnow.org/us/california-ca,0.29871346393241405,0.15517567816925917,88,17703550
08,USA,CO,,state,,iso1:us#iso2:us-co,,5758736,0.04078343159659291,other,22.137794523957044,0.2039444195428059,1.0616487126899998,0.10000000000000009,0.22467771639042358,122,actual,745,actual,0.6731366459627329,2,1,2,1,1,0,0,461969,6166,444680,6002916,1300,13464,8153,410,0.63,1288,867,122,0.8043135192,1142,3060410,1664752,976137,2021-03-30,https://covidactnow.org/us/colorado-co,0.2890828820769002,0.16950542619074743,1,2602792
09,USA,CT,,state,,iso1:us#iso2:us-ct,,3565287,0.03761061946902655,other,35.14844266794951,0.13725490196078433,1.16288499331,0.09999999999999987,0.18773234200743494,101,actual,536,actual,0.5931098696461825,3,1,3,1,2,0,0,307615,7883,428797,7188292,860,8238,6587,547,0.68,1074,637,101,0.65,3229,2211275,1225480,697784,2021-03-30,https://covidactnow.org/us/connecticut-ct,0.34372548409146303,0.195716081201878,18,1891603
11,USA,DC,,state,,iso1:us#iso2:us-dc,,705749,0.027692230019690012,other,17.50926017201988,0.43375722543352596,0.9783505468770001,0.13861158086299985,0.3442622950819672,42,actual,229,actual,0.7720797720797721,2,0,2,1,1,0,1,44248,1059,61800,1555945,268,4623,2668,175,0.76,351,271,42,0.8289855072460001,73,491635,181374,91317,2021-03-30,https://covidactnow.org/us/district_of_columbia-dc,0.2569950506483183,0.12939019396414306,3,353718
10,USA,DE,,state,,iso1:us#iso2:us-de,,973764,0.04251089085752712,other,28.94511841238152,0.14972123669538775,1.08136453796,0.09999999999999987,0.20833333333333334,10,actual,145,actual,0.8031088082901554,3,1,3,1,1,0,2,94402,1552,109458,1660755,211,4052,2491,144,0.71,193,155,10,0.73,340,555005,290527,152901,2021-03-30,https://covidactnow.org/us/delaware-de,0.298354632128524,0.15702059225849385,8,447568
12,USA,FL,,state,,iso1:us#iso2:us-fl,,21477737,0.07237696433612496,other,24.05680422875624,0.1006414510064145,1.01918166669,0.10000000000000009,0.32774765894529323,665,actual,4428,actual,0.7887563884156729,2,1,2,1,1,0,1,2043501,33246,2568112,22634372,2600,76852,45163,3295,0.76,6457,5093,665,0.76,3374,12219465,5840928,3251908,2021-03-30,https://covidactnow.org/us/florida-fl,0.27195267359871295,0.15140831643482738,69,9276711
13,USA,GA,,state,,iso1:us#iso2:us-ga,,10617423,0.0519205106189289,other,14.458714295765152,0.20454122464172717,0.9438845907150001,0.10000000000499998,0.3852013057671382,354,actual,1918,actual,0.800845964046528,2,1,2,1,1,0,2,1032045,18381,788914,6620478,1570,29899,17792,1339,0.68,2837,2272,354,0.815056720523,1146,5385975,2447419,1275068,2021-03-30,https://covidactnow.org/us/georgia-ga,0.23050970089446374,0.12009204116667481,32,3764344
15,USA,HI,,state,,iso1:us#iso2:us-hi,,1415872,0.018215417106652587,other,7.204041043258147,0.5882352941176471,1.16741322073,0.14832125366999982,0.06521739130434782,6,actual,134,actual,0.6194690265486725,2,0,1,1,2,0,0,29626,459,34356,1175057,300,3064,1853,43,0.66,226,140,6,0.69,98,890600,439169,259463,2021-03-30,https://covidactnow.org/us/hawaii-hi,0.31017563734574877,0.18325314717714597,0,685464
19,USA,IA,,state,,iso1:us#iso2:us-ia,,3155070,0.06377694268066174,other,18.11596663691863,0.14101474631342165,1.05348361471,0.10000000000000009,0.15770609318996415,44,actual,401,actual,0.6544117647058824,2,1,2,1,1,0,0,350219,5729,347889,2798784,403,13582,4975,211,0.5,680,445,44,0.56,505,1696035,956164,598935,2021-03-30,https://covidactnow.org/us/iowa-ia,0.30305635057225355,0.1898325552206449,4,1514487
16,USA,ID,,state,,iso1:us#iso2:us-id,,1787065,0.05201475463416911,other,15.732100239378934,0.17784552845528454,0.949406183254,0.09999999999600018,0.2692307692307692,42,actual,151,actual,0.6286644951140065,2,1,2,1,1,0,0,179897,1960,217308,1151605,250,3796,2188,169,0.54,307,193,42,0.53,386,910095,452828,286879,2021-03-30,https://covidactnow.org/us/idaho-id,0.2533920142803983,0.1605308144919183,3,736941
17,USA,IL,,state,,iso1:us#iso2:us-il,,12671821,0.03361613659958206,other,18.687132654414864,0.32094594594594594,1.11648870105,0.10000000000000009,0.1388888888888889,215,actual,1915,actual,0.6150736355760901,2,1,2,1,2,0,0,1243171,23527,1223943,15012137,3800,38143,21531,1386,0.58,3463,2130,215,0.615201900238,1984,6883535,3832086,2042458,2021-03-30,https://covidactnow.org/us/illinois-il,0.30241004824799844,0.16118109622918442,6,5793846
18,USA,IN,,state,,iso1:us#iso2:us-in,,6732219,0.03677901565364546,other,13.406744916816113,0.35454257676479894,1.0455635052299999,0.10000000000000009,0.1338862559241706,113,actual,1385,actual,0.6720502467474204,2,1,2,1,1,0,0,687621,13028,776677,6784218,1600,18472,12166,657,0.57,2229,1498,113,0.653419593346,713,3328110,1673593,1098306,2021-03-30,https://covidactnow.org/us/indiana-in,0.24859455701010322,0.16314175162750943,5,2734813
20,USA,KS,,state,,iso1:us#iso2:us-ks,,2913314,0.03316641737660143,other,7.556441123162733,0.3261518494484101,0.942075135711,0.099999999999,0.13861386138613863,42,actual,540,actual,0.6903914590747331,1,1,1,1,1,0,0,304143,4902,282813,2434996,359,12492,5152,170,0.51,843,582,42,0.633136094675,433,1643765,854185,477019,2021-03-30,https://covidactnow.org/us/kansas-ks,0.29320045830967756,0.16373758544393083,11,1261951
21,USA,KY,,state,,iso1:us#iso2:us-ky,,4467673,0.03514186701321204,other,13.170806624132327,0.4214615197863559,0.8750119777169999,0.10000000000000009,0.11017964071856287,92,actual,998,actual,0.5946535733769777,2,1,2,1,0,0,0,428335,6104,463865,3339151,1240,19775,8695,432,0.59,1833,1090,92,0.66,416,2371375,1365477,752613,2021-03-30,https://covidactnow.org/us/kentucky-ky,0.30563494687279036,0.16845749453910347,42,2058753
22,USA,LA,,state,,iso1:us#iso2:us-la,,4648794,0.03125132961749564,other,8.724228876810384,0.39450510743219447,0.924911228484,0.09999999999599996,0.16298342541436464,118,actual,1098,actual,0.6673984632272228,1,1,1,1,1,0,0,443905,10122,502312,5450946,800,20906,9368,354,0.55,1822,1216,118,0.668632075472,836,2550580,1191044,735056,2021-03-30,https://covidactnow.org/us/louisiana-la,0.25620494261522453,0.15811756769605192,35,1911134
25,USA,MA,,state,,iso1:us#iso2:us-ma,,6892503,0.023939572688203344,other,31.415085554343815,0.21706142376459722,1.0998732217799998,0.10000000000000009,0.28,140,actual,922,actual,0.7468354430379747,3,0,3,1,1,0,1,631031,17130,708326,17680681,2350,24379,15937,689,0.72,1422,1062,140,0.5,1500,3848770,2293964,1256616,2021-03-30,https://covidactnow.org/us/massachusetts-ma,0.33282016707138173,0.18231635154892206,15,3495331
24,USA,MD,,state,,iso1:us#iso2:us-md,,6045680,0.05533013648100332,other,19.777994960273876,0.2341696535244922,1.11224294792,0.10000000000000009,0.4061433447098976,238,actual,784,actual,0.745985401459854,2,1,2,1,2,0,1,409260,8260,788816,8412773,1400,14456,9856,1248,0.72,1370,1022,238,0.66,1031,3335590,1813685,980397,2021-03-30,https://covidactnow.org/us/maryland-md,0.2999968572600601,0.16216488467798496,9,2681526
23,USA,ME,,state,,iso1:us#iso2:us-me,,1344212,0.030843901675277906,other,14.751074554141333,0.0867435158501441,1.02726442474,0.09999999999999987,0.23931623931623933,28,actual,224,actual,0.7390029325513197,2,1,2,2,1,0,1,50030,736,35687,1133441,86,3847,2321,88,0.63,341,252,28,0.7246753246750001,180,791220,452561,259329,2021-03-30,https://covidactnow.org/us/maine-me,0.3366738282354271,0.19292269374176096,0,683925
26,USA,MI,,state,,iso1:us#iso2:us-mi,,9986857,0.10867848619462077,other,51.24020214053044,0.03908321934061026,1.27894644687,0.10000000000000009,0.3895055499495459,386,actual,1601,actual,0.7665895061728395,3,2,3,2,2,0,1,732621,17048,851091,10824613,1000,27031,18455,1956,0.61,2592,1987,386,0.776520051746,9297,5249380,2779143,1647950,2021-03-30,https://covidactnow.org/us/michigan-mi,0.27828004346112095,0.16501187510745371,10,4295979
27,USA,MN,,state,,iso1:us#iso2:us-mn,,5639632,0.05113033896961991,other,25.943942036339553,0.14051942979886742,1.13080943752,0.10000000000000009,0.2541436464088398,92,actual,564,actual,0.7084233261339092,3,1,3,1,2,0,1,516686,6913,759565,9283544,1028,17693,7632,452,0.6,926,656,92,0.532017075774,1550,2907150,1722919,1018107,2021-03-30,https://covidactnow.org/us/minnesota-mn,0.3055020256640859,0.1805272046119321,5,2665779
29,USA,MO,,state,,iso1:us#iso2:us-mo,,6137428,0.04230087691398973,other,11.41939494617522,0.026824296779453728,1.0424652333,0.10000000000000009,0.2953667953667954,153,actual,1233,actual,0.7915476870359794,2,1,2,2,1,0,1,583933,8943,331405,2813974,94,26185,13534,822,0.62,1751,1386,153,0.689096797409,403,3256125,1544780,888800,2021-03-30,https://covidactnow.org/us/missouri-mo,0.2516982683951649,0.14481636281517274,1,2464910
69,USA,MP,,state,,iso1:us#iso2:us-mp,,53605,,other,0.5329993204258664,,,,,,,,,,0,4,0,4,4,4,4,159,2,330,28856,10,,,,,,,,,0,,,,2021-03-30,https://covidactnow.org/us/northern_mariana_islands-mp,,,0,
28,USA,MS,,state,,iso1:us#iso2:us-ms,,2976149,0.03901642319208783,other,8.462517933649924,0.15882019285309132,0.793466935135,0.10000000000000009,0.2702702702702703,80,actual,539,actual,0.7413173652694611,1,1,1,1,0,0,1,304695,7001,154471,1153429,200,14398,5698,330,0.51,835,619,80,0.807865168539,79,1614655,722545,437795,2021-03-30,https://covidactnow.org/us/mississippi-ms,0.24277850336122284,0.14710117000190515,0,1134229
